period,stateid,stateDescription,sectorid,sectorName,price,price-units
2022-03,US,U.S. Total,RES,residential,14.41,cents per kilowatthour
2022-03,US,U.S. Total,OTH,other,,cents per kilowatthour
2022-03,US,U.S. Total,IND,industrial,7.37,cents per kilowatthour
2022-03,US,U.S. Total,COM,commercial,11.65,cents per kilowatthour
2022-02,US,U.S. Total,ALL,all sectors,11.42,cents per kilowatthour
2022-02,US,U.S. Total,TRA,transportation,10.95,cents per kilowatthour
2022-02,US,U.S. Total,RES,residential,13.76,cents per kilowatthour
2022-02,US,U.S. Total,OTH,other,,cents per kilowatthour
2022-02,US,U.S. Total,IND,industrial,7.28,cents per kilowatthour
2022-02,US,U.S. Total,COM,commercial,11.66,cents per kilowatthour
2022-01,US,U.S. Total,ALL,all sectors,11.24,cents per kilowatthour
2022-01,US,U.S. Total,TRA,transportation,10.54,cents per kilowatthour
2022-01,US,U.S. Total,RES,residential,13.64,cents per kilowatthour
2022-01,US,U.S. Total,OTH,other,,cents per kilowatthour
2022-01,US,U.S. Total,IND,industrial,7.19,cents per kilowatthour
2022-01,US,U.S. Total,COM,commercial,11.26,cents per kilowatthour
2021-12,US,U.S. Total,ALL,all sectors,11.03,cents per kilowatthour
2021-12,US,U.S. Total,TRA,transportation,10.49,cents per kilowatthour
2021-12,US,U.S. Total,RES,residential,13.72,cents per kilowatthour
2021-12,US,U.S. Total,OTH,other,,cents per kilowatthour
2021-12,US,U.S. Total,IND,industrial,7.06,cents per kilowatthour
2021-12,US,U.S. Total,COM,commercial,11.15,cents per kilowatthour
2021-11,US,U.S. Total,ALL,all sectors,11.14,cents per kilowatthour
2021-11,US,U.S. Total,TRA,transportation,10.47,cents per kilowatthour
2021-11,US,U.S. Total,RES,residential,14.07,cents per kilowatthour
2021-11,US,U.S. Total,OTH,other,,cents per kilowatthour
2021-11,US,U.S. Total,IND,industrial,7.37,cents per kilowatthour
2021-11,US,U.S. Total,COM,commercial,11.29,cents per kilowatthour
2021-10,US,U.S. Total,ALL,all sectors,11.24,cents per kilowatthour
2021-10,US,U.S. Total,TRA,transportation,10.25,cents per kilowatthour
2021-10,US,U.S. Total,RES,residential,14.06,cents per kilowatthour
2021-10,US,U.S. Total,OTH,other,,cents per kilowatthour
2021-10,US,U.S. Total,IND,industrial,7.44,cents per kilowatthour
2021-10,US,U.S. Total,COM,commercial,11.52,cents per kilowatthour
2021-09,US,U.S. Total,ALL,all sectors,11.59,cents per kilowatthour
2021-09,US,U.S. Total,TRA,transportation,11.15,cents per kilowatthour
2021-09,US,U.S. Total,RES,residential,14.14,cents per kilowatthour
2021-09,US,U.S. Total,OTH,other,,cents per kilowatthour
2021-09,US,U.S. Total,IND,industrial,7.61,cents per kilowatthour
2021-09,US,U.S. Total,COM,commercial,11.65,cents per kilowatthour
2021-08,US,U.S. Total,ALL,all sectors,11.55,cents per kilowatthour
2021-08,US,U.S. Total,TRA,transportation,10.27,cents per kilowatthour
2021-08,US,U.S. Total,RES,residential,13.92,cents per kilowatthour
2021-08,US,U.S. Total,OTH,other,,cents per kilowatthour
2021-08,US,U.S. Total,IND,industrial,7.54,cents per kilowatthour
2021-08,US,U.S. Total,COM,commercial,11.52,cents per kilowatthour
2021-07,US,U.S. Total,ALL,all sectors,11.45,cents per kilowatthour
2021-07,US,U.S. Total,TRA,transportation,10.29,cents per kilowatthour
2021-07,US,U.S. Total,RES,residential,13.83,cents per kilowatthour
2021-07,US,U.S. Total,OTH,other,,cents per kilowatthour
2021-07,US,U.S. Total,IND,industrial,7.42,cents per kilowatthour
